keys,en,zh
NEUROMOD-SWARM_REMOTE,Swarm Remote,蜂群遥控器
NEUROMOD-EVIL_BAT,Evil's Bat,Evil的球棒
NEUROMOD-VEDAL_DRILL,Vedal's Drill,Vedal的Drill
NEUROMOD-1984_BOOK,1984 Book,《1984》
NEUROMOD-ABANDONED_ARCHIVE,Abandoned Archive,废弃档案
NEUROMOD-ANNY_STAR,Anny's Star,Anny之星
NEUROMOD-CABBAGE,Cabbage,卷心菜
NEUROMOD-DONOWALL,Donowall,Donowall
NEUROMOD-ELLIS_PROPELLER,Ellis Propeller Book,故事书: Ellis propeller
NEUROMOD-ERMFISH,Ermfish,Erm鱼
NEUROMOD-GYMBAG,Gymbag,Gymbag
NEUROMOD-NEURO_FUMO,Neuro Fumo,Neuro的Fumo
NEUROMOD-NEURO_LAVA,Neuro's Lava,Neuro的岩浆
NEUROMOD-100_NEUROS,100 Neuros,100牛币
NEUROMOD-10_NEUROS,10 Neuros,10牛币
NEUROMOD-20_NEUROS,20 Neuros,20牛币
NEUROMOD-500_NEUROS,500 Neuros,500牛币
NEUROMOD-50_NEUROS,50 Neuros,50牛币
NEUROMOD-5_NEUROS,5 Neuros,5牛币
NEUROMOD-ORANG,Orang,橘子
NEUROMOD-PROGRAMMING_SOCKS,Programming Socks,程序员袜
NEUROMOD-RUM-CHALICE,Rum Chalice,朗姆酒杯
NEUROMOD-SCHIZO_MEDS,Schizo Meds,Schizo药丸
NEUROMOD-SHIRO_HAT,Shiro's Hat,Shiro的生日帽
NEUROMOD-SHREK_MOVIE,Shrek Movie,史莱克电影
NEUROMOD-SPAGHETTI_CODE,Spaghetti Code,意面代码
NEUROMOD-SWARM_DRONE_EXPLOSIVE,Explosive Swarm Drone,爆炸型蜂群无人机
NEUROMOD-SWARM_DRONE_HEART,Heart Swarm Drone,爱心型蜂群无人机
NEUROMOD-SWARM_DRONE_NEKO,Neko Swarm Drone,猫猫型蜂群无人机
NEUROMOD-SWARM_DRONE_ROUNDED,Swarm Drone,蜂群无人机
NEUROMOD-TOFFEE,Toffee,Toffee
NEUROMOD-TUTEL,Tutel,Tutel
NEUROMOD-VEDAL_SOUP,Vedal Soup,乌龟汤
EFFECT_SWARM_DRONE_ROUNDED,Spawns a [color=#ffbda9]Swarm Drone[/color] that shoots bullets dealing {0} ({1}) damage,生成一架[color=#ffbda9]蜂群无人机[/color]，其会发射造成{0} ({1})点伤害的子弹
EFFECT_SWARM_DRONE_NEKO,Spawns a [color=#ffbda9]Swarm Drone[/color] that shoots flames dealing {0}x{2} ({1}) burning damage,生成一架[color=#ffbda9]蜂群无人机[/color]，其会喷射造成{0}x{2} ({1})点伤害的烈焰
EFFECT_SWARM_DRONE_HEART,Spawns a [color=#ffbda9]Swarm Drone[/color] that shoots piercing bullets dealing {0} ({1}) damage,生成一架[color=#ffbda9]蜂群无人机[/color]，其会发射造成{0} ({1})点伤害的爆破弹
EFFECT_SWARM_DRONE_EXPLOSIVE,Spawns a [color=#ffbda9]Swarm Drone[/color] that shoots explosive rockets dealing {0} ({1}) damage in an area,生成一架[color=#ffbda9]蜂群无人机[/color]，其会发射造成{0} ({1})点区域伤害的爆炸火箭弹
EFFECT_TOFFEE,Spawns a [color=#FFBF00]Toffee[/color] that picks up [color=lime]materials[/color] for you\nSlows down nearby [color=red]enemies[/color],生成一只[color=#FFBF00]Toffee[/color]，其会为你捡起[color=lime]材料[/color]\n降低周围[color=red]怪物[/color]的速度
NEUROMOD-NEURO_SAMA,Neuro-sama,Neuro-sama
NEUROMOD-NEURO_SAMA_COMMENT,[color=#FFE000]I don't want to be an engineer[/color],[color=#FFE000]I don't want to be an engineer[/color]
NEUROMOD-EVIL_NEURO,Evil Neuro,Evil Neuro
NEUROMOD-EVIL_NEURO_COMMENT,[color=#FFE000]Twitchy twitchy twitchy...[/color],[color=#FFE000]Twitchy twitchy twitchy...[/color]
NEUROMOD-VEDAL,Vedal,Vedal
NEUROMOD-VEDAL_COMMENT,[color=#FFE000]Corpa Clap[/color],[color=#FFE000]资本龟[/color]
NEUROMOD-ANNY,Anny,Anny
NEUROMOD-ANNY_COMMENT,[color=#FFE000]Orang[/color],[color=#FFE000]橘子[/color]
NEUROMOD-ANNY_PICKUP_RANGE,[color=red]-1000%[/color] Pickup range,[color=red]-1000%[/color] 拾取范围
NEUROMOD-TERU,Teru,Teru
NEUROMOD-TERU_COMMENT,[color=#FFE000]Nandeyanen[/color],[color=#FFE000]Nandeyanen[/color]
NEUROMOD-HIYORI,Hiyori,Hiyori
NEUROMOD-HIYORI_COMMENT,[color=#FFE000]I think I saw a ghost[/color],[color=#FFE000]I think I saw a ghost[/color]
